Michał Lewandowski,Michal Masztal,Andrzej Gruch,Dariusz  Michalski ,Łukasz Surowiecki,Tomek Tomczyk,Wojciech Staniewski,Dawid Gulbicki,Wojtek Zieliński,Sebastian Milewski,Szymon Grygowski,Szymon Balawajder,Tomasz Drgas,Bartosz Nowacki,Bartłomiej Szal,Marcin Staszak,Mateusz Wiśniewski,Tomasz Kowalik,Michał Gólski,Piotr Kolodziejski,Kamil Kaźmierski,Dominik  Płatek ,Kacper Gajewy,Jakub Filipiak,Dawid Ratajczyk,piotr mikolajczak,Mateusz Wolny,Andrzej Bibik,Jan Stawiński,Piotr  Szachta,Tomasz Sienkiewicz,Wojtek Jachimczyk,Rafał Kajewski,Maciej Raczak,Maciej Danielak,Michał Wolski,Maciej Stempniak,Adrian Wilkowski,time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,2023-01-04 14:00:00
1.0,1.08,0.71,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,8.0,0.0,0.75,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.92,2023-01-04 15:00:00
2.0,2.17,1.42,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.92,0.0,0.0,0.0,0.0,8.0,0.0,1.5,0.0,0.0,0.0,0.0,15.0,0.0,0.0,1.83,2023-01-04 16:00:00
3.0,3.25,2.12,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.88,0.0,0.0,0.0,0.0,8.0,0.0,2.25,0.0,0.0,0.0,0.0,15.0,0.0,0.0,2.75,2023-01-04 17:00:00
4.0,4.33,2.83,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.83,0.0,0.0,0.0,0.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,3.67,2023-01-04 18:00:00
5.0,5.42,3.54,0.0,4.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.79,0.0,0.0,0.0,0.0,8.0,0.0,3.75,0.0,0.0,0.0,0.0,15.0,0.0,0.0,4.58,2023-01-04 19:00:00
6.0,6.5,4.25,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.75,0.0,0.0,0.0,0.0,8.0,0.0,4.5,0.0,0.0,0.0,0.0,15.0,0.0,0.0,5.5,2023-01-04 20:00:00
7.0,7.58,4.96,0.0,5.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.71,0.0,0.0,0.0,0.0,8.0,0.0,5.25,0.0,0.0,0.0,0.0,15.0,0.0,0.0,6.42,2023-01-04 21:00:00
8.0,8.67,5.67,0.0,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.67,0.0,0.0,0.0,0.0,8.0,0.0,6.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,7.33,2023-01-04 22:00:00
9.0,9.75,6.38,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.62,0.0,0.0,0.0,0.0,8.0,0.0,6.75,0.0,0.0,0.0,0.0,15.0,0.0,0.0,8.25,2023-01-04 23:00:00
10.0,10.83,7.08,0.0,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9.58,0.0,0.0,0.0,0.0,8.0,0.0,7.5,0.0,0.0,0.0,0.0,15.0,0.0,0.0,9.17,2023-01-05 00:00:00
11.0,11.92,7.79,0.0,9.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10.54,0.0,0.0,0.0,0.0,8.0,0.0,8.25,0.0,0.0,0.0,0.0,15.0,0.0,0.0,10.08,2023-01-05 01:00:00
12.0,13.0,8.5,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,11.5,0.0,0.0,0.0,0.0,8.0,0.0,9.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,11.0,2023-01-05 02:00:00
13.0,14.08,9.21,0.0,10.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,12.46,0.0,0.0,0.0,0.0,8.0,0.0,9.75,0.0,0.0,0.0,0.0,15.0,0.0,0.0,11.92,2023-01-05 03:00:00
14.0,15.17,9.92,0.0,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,13.42,0.0,0.0,0.0,0.0,8.0,0.0,10.5,0.0,0.0,0.0,0.0,15.0,0.0,0.0,12.83,2023-01-05 04:00:00
15.0,16.25,10.62,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,14.38,0.0,0.0,0.0,0.0,8.0,0.0,11.25,0.0,0.0,0.0,0.0,15.0,0.0,0.0,13.75,2023-01-05 05:00:00
16.0,17.33,11.33,0.0,13.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,15.33,0.0,0.0,0.0,0.0,8.0,0.0,12.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,14.67,2023-01-05 06:00:00
17.0,18.42,12.04,0.0,14.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,16.29,0.0,0.0,0.0,0.0,8.0,0.0,12.75,0.0,0.0,0.0,0.0,15.0,0.0,0.0,15.58,2023-01-05 07:00:00
18.0,19.5,12.75,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,17.25,0.0,0.0,0.0,0.0,8.0,0.0,13.5,0.0,0.0,0.0,0.0,15.0,0.0,0.0,16.5,2023-01-05 08:00:00
19.0,20.58,13.46,0.0,15.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,18.21,0.0,0.0,0.0,0.0,8.0,0.0,14.25,0.0,0.0,0.0,0.0,15.0,0.0,0.0,17.42,2023-01-05 09:00:00
20.0,21.67,14.17,0.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,19.17,0.0,0.0,0.0,0.0,8.0,0.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,18.33,2023-01-05 10:00:00
21.0,22.75,14.88,0.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,20.12,0.0,0.0,0.0,0.0,8.0,0.0,15.75,0.0,0.0,0.0,0.0,15.0,0.0,0.0,19.25,2023-01-05 11:00:00
22.0,23.83,15.58,0.0,18.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,21.08,0.0,0.0,0.0,0.0,8.0,0.0,16.5,0.0,0.0,0.0,0.0,15.0,0.0,0.0,20.17,2023-01-05 12:00:00
23.0,24.92,16.29,0.0,19.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,22.04,0.0,0.0,0.0,0.0,8.0,0.0,17.25,0.0,0.0,0.0,0.0,15.0,0.0,0.0,21.08,2023-01-05 13:00:00
24.0,26.0,17.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,8.0,0.0,18.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,22.0,2023-01-05 14:00:00
24.0,26.0,17.0,0.75,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,0.96,0.0,0.0,0.0,0.0,0.0,2.17,0.0,0.0,0.0,23.0,0.0,0.92,0.0,0.0,8.0,0.0,18.0,0.0,0.0,0.0,0.0,15.12,0.0,0.0,22.0,2023-01-05 15:00:00
